0	10.7074
10	10.1630
20	9.7776
30	9.3295
40	8.6750
50	7.8367
60	6.9789
70	6.0998
80	5.4755
90	5.1221
100	4.8904
110	4.7971
120	4.6668
130	4.4853
140	4.4659
150	4.5178
160	4.3982
170	4.2496
180	4.3521
190	4.3504
200	4.3246
210	4.2187
220	4.2614
230	4.1614
240	4.1333
250	3.9536
260	4.0795
270	4.0204
280	4.0286
290	4.0264
300	4.0616
310	4.1051
320	3.9661
330	4.0315
340	3.7722
350	4.0697
360	4.0456
370	3.9699
380	3.9354
390	4.1080
400	3.8389
410	3.8538
420	3.8776
430	3.9805
440	3.7918
450	3.8933
460	3.7802
470	3.8104
480	3.8533
490	3.7875
500	3.7221
510	3.9310
520	3.7618
530	3.6999
540	3.7052
550	3.7698
560	3.7243
570	3.8487
580	3.7425
590	3.6956
600	3.7478
610	3.9027
620	3.8127
630	3.7540
640	3.6880
650	3.8205
660	3.7686
670	3.7815
680	3.7206
690	3.7395
700	3.8493
710	3.8771
720	3.6952
730	3.7606
740	3.7460
750	3.8533
760	3.6864
770	3.8239
780	3.7333
790	3.6807
800	3.6708
810	3.6694
820	3.6933
830	3.6830
840	3.6345
850	3.7749
860	3.8372
870	3.7162
880	3.8173
890	3.6571
900	3.6635
910	3.7139
920	3.8010
930	3.5442
940	3.6428
950	3.5551
960	3.6448
970	3.7343
980	3.7104
990	3.6548
1000	3.8688
